14 24
- - - x - - 2 - - 1 - - - - - - - - - 0 - 0 - -
1 - 2 - - - - - - - - - 3 - 1 - - - - - - - - x
- - - - - x - - - - - - - - - - - 1 - 1 - 1 - x
- - x - - x - - - x - - x x - - - - - - - - - -
- - x - - - - - - x 0 - 1 - - x - - - 0 - - 2 -
0 - x - - x - - x x - - - - - x - - - x - 3 - -
- - - 2 - x - 2 - - - x - x - - - 1 - x - - - -
- - - - 0 - 0 - - - 3 - 3 - - - x - 1 - 0 - - -
- - x - x - - - x - - - - - x 1 - - 0 - - x - 1
- 0 - - x - - - 1 - - 1 - 1 x - - - - - - x - -
- - - - - - - - - - x 0 - - 1 - - - 1 - - x - -
2 - 1 - 0 - x - - - - - - - - - - - 0 - - - - -
x - - - - - - - - x - 2 - - - - - - - - - 2 - x
- - x - x - - - - - - - - - 0 - - x - - 0 - - -
