18 22
- - - - - - - - - - - - - - - - - - - - - -
- 2 - x - - 1 - - x - x - - x - - 1 - x - -
- - 2 - - x - 1 - - x - - 2 - x - - x - - -
- - - - - - - - - - - 1 - - - - x - - 0 - -
- - x - - - - - 0 - - - - 1 - - - - x - x -
- x - 0 - - - x - 1 - - - - 0 - - - - - - -
- - - - - - 0 - - - 1 - - - - 1 - - 2 - 1 -
- x - x - - - - - - - 1 - - x - x - - x - -
- - 1 - - - - - - 1 - - - x - - - 1 - - - -
- - - - 3 - - - x - - - x - - - - - - 2 - -
- - 1 - - 1 - x - - 1 - - - - - - - x - 1 -
- x - 1 - - 1 - - - - 2 - - - 2 - - - - - -
- - - - - - - 1 - - - - x - x - - - x - 2 -
- 1 - x - - - - 1 - - - - 2 - - - - - x - -
- - x - - x - - - - 2 - - - - - - - - - - -
- - - x - - x - 3 - - 1 - - 2 - 2 - - 2 - -
- - x - 2 - - x - - x - x - - x - - 2 - 2 -
- - - - - - - - - - - - - - - - - - - - - -
