14 24
- 1 - - 2 - - - - - - - - - - - 3 - - - - - - -
- - - - - - - - - - - - - - - - - - - - - - - -
- 5 - - 4 - - - - - - 4 - - - - 3 - - 3 - - - -
- - - - - - - - - - - - - - 1 - - - - - - - - -
- - - - - - - - - - - - - - - - - - - - 3 - - -
5 - - - - 6 - - - - 3 - - - - - - 5 - - - - - -
- - - - - - - - - - - - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - - - - 3 - - 1
3 - - - 3 - - - - - 2 - - - - - - - - - - - - -
- - - - - - - - - - - - - 1 - - 3 - - - - - - -
- - - - - - - - - - - - - - - - - - - - 4 - - -
- - - - - - - - - - - 2 - - - - 2 - - - - - - -
- - - - - 3 - - - 1 - - - - - - 2 - - - - - - -
2 - - - - - - - - - - - - - - - - - - - - - - -
1 7 7 7 9 9 16 16 16 16 19 19 19 19 29 29 31 31 31 37 40 40 45 45
1 7 7 7 9 9 16 16 16 16 19 19 19 19 29 29 31 31 31 37 40 40 45 45
2 8 8 8 10 10 10 10 17 17 17 23 23 23 29 29 32 32 32 38 38 38 45 45
2 8 8 8 10 10 10 10 17 17 17 23 23 23 30 30 32 32 32 38 38 38 45 45
2 8 8 8 10 10 10 10 17 17 17 23 23 23 30 30 32 32 32 39 41 41 41 41
3 3 3 3 3 12 12 12 12 12 20 20 20 26 26 26 26 36 36 36 41 41 41 41
3 3 3 3 3 12 12 12 12 12 20 20 20 26 26 26 26 36 36 36 41 41 41 41
3 3 3 3 3 12 12 12 12 12 20 20 20 26 26 26 26 36 36 36 42 42 42 46
4 4 4 4 11 13 13 13 13 13 21 21 21 26 26 26 26 36 36 36 42 42 42 46
4 4 4 4 11 13 13 13 13 13 21 21 21 27 27 27 33 33 33 33 42 42 42 46
4 4 4 4 11 14 14 14 14 14 21 21 21 27 27 27 33 33 33 33 43 43 43 46
5 5 5 5 11 14 14 14 14 14 22 24 24 28 28 28 34 34 34 34 43 43 43 46
5 5 5 5 11 15 15 15 15 18 18 24 24 28 28 28 35 35 35 35 43 43 43 46
6 6 6 6 6 15 15 15 15 18 18 25 25 28 28 28 35 35 35 35 44 44 44 44
