12 16
- - 7\ 16\ - - 4\ 30\ - 22\ 13\ - 38\ 16\ 16\ -
- 8\5 0 0 22\ \11 0 0 3\16 0 0 \23 0 0 0 17\
\11 0 0 0 0 18\16 0 0 0 0 0 11\18 0 0 0 0
\34 0 0 0 0 0 3\13 0 0 0 4\34 0 0 0 0 0
- 23\ 24\26 0 0 0 0 0 7\16 0 0 0 0 0 6\ 7\
\16 0 0 0 21\4 0 0 21\7 0 0 0 14\11 0 0 0 0
\16 0 0 34\4 0 0 4\8 0 0 0 4\4 0 0 16\4 0 0
\28 0 0 0 0 12\7 0 0 0 16\3 0 0 22\7 0 0 0
- 16\ 14\16 0 0 0 0 0 10\15 0 0 0 0 0 7\ 16\
\35 0 0 0 0 0 4\23 0 0 0 4\34 0 0 0 0 0
\30 0 0 0 0 \15 0 0 0 0 0 \20 0 0 0 0
- \7 0 0 0 \4 0 0 \3 0 0 - \6 0 0 -
