12 16
- 4\ 22\ 11\ - - 16\ 23\ - - - 14\ 34\ 14\ 11\ -
\6 0 0 0 - 11\16 0 0 11\ - 16\29 0 0 0 0 4\
\7 0 0 0 12\29 0 0 0 0 21\22 0 0 0 0 0 0
- 9\10 0 0 0 0 \38 0 0 0 0 0 0 24\3 0 0
\29 0 0 0 0 15\ - 16\4 0 0 4\ 7\20 0 0 0 -
\4 0 0 23\3 0 0 17\28 0 0 0 0 0 0 0 39\ -
- \13 0 0 16\23 0 0 0 11\6 0 0 0 12\16 0 0 16\
- - 19\29 0 0 0 0 0 0 0 \4 0 0 11\17 0 0
- 3\15 0 0 0 16\ 4\4 0 0 24\ - 10\29 0 0 0 0
\4 0 0 16\22 0 0 0 0 0 0 16\11 0 0 0 0 4\
\22 0 0 0 0 0 0 \29 0 0 0 0 \10 0 0 0
- \30 0 0 0 0 - - \17 0 0 - \7 0 0 0
