12 16
- - 35\ 23\ - 22\ 6\ - 22\ 4\ - - 7\ 4\ 35\ -
- 7\16 0 0 \3 0 0 41\11 0 0 12\ \8 0 0 0 23\
\14 0 0 0 16\21 0 0 0 0 0 0 4\18 0 0 0 0
\34 0 0 0 0 0 16\16 0 0 41\7 0 0 0 29\16 0 0
\8 0 0 19\29 0 0 0 0 24\6 0 0 0 15\24 0 0 0
- \16 0 0 16\39 0 0 0 0 0 0 38\23 0 0 0 -
- - 17\11 0 0 0 11\20 0 0 0 6\18 0 0 0 34\ -
- 7\24 0 0 0 4\22 0 0 0 0 0 0 16\16 0 0 7\
\6 0 0 0 6\7 0 0 0 22\28 0 0 0 0 15\7 0 0
\4 0 0 3\6 0 0 0 4\16 0 0 8\34 0 0 0 0 0
\10 0 0 0 0 \38 0 0 0 0 0 0 \7 0 0 0
- \7 0 0 0 - \8 0 0 \4 0 0 \17 0 0 -
