12 16
- - 16\ 9\ 10\ 23\ - - - 16\ 4\ 10\ - - 24\ 11\
- 6\11 0 0 0 0 14\ - 10\8 0 0 0 - 39\5 0 0
\38 0 0 0 0 0 0 20\10 0 0 0 0 13\7 0 0 0
\6 0 0 0 23\34 0 0 0 0 0 17\15 0 0 0 0 0
\4 0 0 22\10 0 0 10\14 0 0 0 0 16\29 0 0 0 0
- \18 0 0 0 4\7 0 0 0 28\17 0 0 7\17 0 0 -
- - 21\16 0 0 0 0 0 11\34 0 0 0 0 0 16\ -
- 29\4 0 0 9\3 0 0 23\7 0 0 0 29\11 0 0 0 19\
\11 0 0 0 0 24\16 0 0 0 0 5\10 0 0 21\11 0 0
\34 0 0 0 0 0 16\28 0 0 0 0 0 16\23 0 0 0
\24 0 0 0 \29 0 0 0 0 \22 0 0 0 0 0 0
\8 0 0 - \22 0 0 0 - - \28 0 0 0 0 -
