12 16
- 8\ 6\ - 13\ 4\ 17\ - - - 11\ 17\ - 34\ 16\ 13\
\4 0 0 10\7 0 0 0 10\ - 16\10 0 0 11\23 0 0 0
\28 0 0 0 0 0 0 0 8\29 0 0 0 0 0 0 0
- \7 0 0 0 34\34 0 0 0 0 0 16\23 0 0 0 -
- 7\ 6\7 0 0 0 23\7 0 0 0 7\7 0 0 0 6\ 7\
\9 0 0 0 \17 0 0 0 \7 0 0 0 \13 0 0 0
\4 0 0 15\ \16 0 0 16\ - 10\4 0 0 - 21\4 0 0
\6 0 0 0 24\24 0 0 0 4\7 0 0 0 30\6 0 0 0
- - 15\17 0 0 0 7\7 0 0 0 23\23 0 0 0 17\ -
- 15\11 0 0 0 3\16 0 0 0 0 0 3\23 0 0 0 3\
\28 0 0 0 0 0 0 0 \29 0 0 0 0 0 0 0
\22 0 0 0 \5 0 0 - - \18 0 0 0 \4 0 0
