12 16
- - - 10\ 7\ - - - 10\ 26\ - - - 38\ 23\ 16\
- - 21\4 0 0 13\ - 35\11 0 0 11\ - 11\23 0 0 0
- \16 0 0 0 0 6\29 0 0 0 0 16\30 0 0 0 0
- 19\22 0 0 0 0 0 0 \21 0 0 0 0 0 0 -
\15 0 0 0 14\ 34\9 0 0 19\24 0 0 0 0 0 22\ -
\4 0 0 22\33 0 0 0 0 0 35\4 0 0 4\13 0 0 24\
\34 0 0 0 0 0 27\23 0 0 0 24\17 0 0 0 0 0
- \3 0 0 7\17 0 0 20\18 0 0 0 0 0 28\16 0 0
- - 23\15 0 0 0 0 0 \16 0 0 17\ 7\13 0 0 0
- 11\37 0 0 0 0 0 0 7\39 0 0 0 0 0 0 -
\12 0 0 0 0 \30 0 0 0 0 \22 0 0 0 0 -
\24 0 0 0 - - \4 0 0 - - \9 0 0 - -
