12 16
- 17\ 24\ 15\ - - 29\ 39\ - 4\ 7\ - - 15\ 6\ 4\
\17 0 0 0 29\ \17 0 0 11\4 0 0 - 7\7 0 0 0
\29 0 0 0 0 3\15 0 0 0 0 0 29\10 0 0 0 0
- \41 0 0 0 0 0 0 0 \15 0 0 0 0 0 -
- 8\ 7\21 0 0 0 0 0 23\ - 41\13 0 0 0 23\ 24\
\11 0 0 0 0 29\23 0 0 0 29\15 0 0 \22 0 0 0
\6 0 0 16\ \41 0 0 0 0 0 0 0 30\ 16\15 0 0
\7 0 0 0 14\8 0 0 \24 0 0 0 13\30 0 0 0 0
- - 7\23 0 0 0 12\ - 16\34 0 0 0 0 0 7\ -
- 4\15 0 0 0 0 0 17\28 0 0 0 0 0 0 0 4\
\11 0 0 0 0 \30 0 0 0 0 0 \14 0 0 0 0
\7 0 0 0 - \16 0 0 \3 0 0 - \7 0 0 0
