12 16
- 24\ 42\ 6\ - 13\ 11\ 9\ 15\ 11\ 7\ - 12\ 42\ 12\ 13\
\6 0 0 0 \39 0 0 0 0 0 0 \11 0 0 0 0
\22 0 0 0 \21 0 0 0 0 0 0 26\30 0 0 0 0
\12 0 0 39\ - 22\ 26\ 21\ 12\15 0 0 0 0 0 41\ 22\
\20 0 0 0 \31 0 0 0 0 0 11\16 0 0 0 0 0
- 6\5 0 0 \10 0 0 0 0 21\12 0 0 \11 0 0 0
\20 0 0 0 \24 0 0 0 7\11 0 0 0 \20 0 0 0
\6 0 0 0 12\11 0 0 16\10 0 0 0 0 \15 0 0 29\
\20 0 0 0 0 0 22\35 0 0 0 0 0 \24 0 0 0
- 16\ 11\15 0 0 0 0 0 3\ 13\ 11\ 9\ - 8\11 0 0
\13 0 0 0 0 \37 0 0 0 0 0 0 \19 0 0 0
\30 0 0 0 0 \23 0 0 0 0 0 0 \16 0 0 0
