12 16
- 12\ 37\ 21\ 12\ - 6\ 38\ - 4\ 28\ 23\ - 15\ 12\ 4\
\21 0 0 0 0 \6 0 0 16\9 0 0 0 \12 0 0 0
\27 0 0 0 0 10\38 0 0 0 0 0 0 23\7 0 0 0
- 12\10 0 0 0 0 41\12 0 0 14\28 0 0 0 0 41\ 24\
\5 0 0 13\28 0 0 0 0 4\6 0 0 \22 0 0 0 0
\23 0 0 0 6\28 0 0 0 0 0 0 34\29 0 0 0 0
\14 0 0 0 0 13\10 0 0 0 \14 0 0 4\ 8\17 0 0
- 29\ 14\10 0 0 0 0 5\ 29\ 23\16 0 0 0 0 0 -
\45 0 0 0 0 0 0 0 0 0 10\13 0 0 0 0 24\
\14 0 0 5\ 9\ 16\33 0 0 0 0 0 0 6\ 17\14 0 0
\39 0 0 0 0 0 0 \37 0 0 0 0 0 0 0 0
\22 0 0 0 0 0 0 \24 0 0 0 \29 0 0 0 0
