12 16
- 16\ 22\ - 16\ 11\ 12\ - 20\ 7\ 33\ - 19\ 13\ 16\ 3\
\12 0 0 12\21 0 0 0 \7 0 0 0 \21 0 0 0 0
\22 0 0 0 0 0 0 16\23 0 0 0 7\14 0 0 0 0
\22 0 0 0 21\ 21\11 0 0 0 17\27 0 0 0 0 34\ 16\
- 9\ 23\21 0 0 0 0 0 28\7 0 0 0 \8 0 0 0
\17 0 0 0 0 0 \30 0 0 0 0 22\ - 8\7 0 0
\13 0 0 34\9 0 0 6\34 0 0 0 0 0 12\10 0 0 0
\27 0 0 0 0 16\10 0 0 0 10\ 27\35 0 0 0 0 0
- 8\ 11\24 0 0 0 0 20\15 0 0 0 0 0 10\12 0 0
\8 0 0 0 13\7 0 0 0 14\8 0 0 7\3 0 0 10\ 16\
\35 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\16 0 0 0 0 0 \34 0 0 0 0 0 \21 0 0 0
