12 16
- 27\ 11\ 11\ 35\ - 21\ 30\ 14\ 16\ 22\ - 20\ 6\ 32\ 23\
\12 0 0 0 0 \34 0 0 0 0 0 \13 0 0 0 0
\27 0 0 0 0 15\18 0 0 0 0 0 38\29 0 0 0 0
\14 0 0 10\28 0 0 0 0 10\30 0 0 0 0 5\16 0 0
\24 0 0 0 0 0 41\26 0 0 0 0 0 9\4 0 0 17\
- 7\ 38\11 0 0 0 0 9\4 0 0 23\32 0 0 0 0 0
\17 0 0 0 15\27 0 0 0 0 23\6 0 0 0 19\13 0 0
\11 0 0 10\14 0 0 0 0 12\17 0 0 0 0 0 11\ 27\
\19 0 0 0 0 3\32 0 0 0 0 0 0 20\20 0 0 0
- 5\6 0 0 6\6 0 0 7\21 0 0 0 4\29 0 0 0 0
\36 0 0 0 0 0 0 0 0 \14 0 0 0 \11 0 0
\11 0 0 0 0 \9 0 0 0 \7 0 0 0 \4 0 0
