12 16
- - 18\ 10\ 5\ 29\ - - 18\ 10\ 16\ - - 13\ 3\ 13\
- 26\13 0 0 0 0 - \20 0 0 0 - 12\14 0 0 0
\32 0 0 0 0 0 9\ 10\8 0 0 0 24\10 0 0 0 0
\14 0 0 - 21\13 0 0 0 0 \30 0 0 0 0 30\ -
\12 0 0 8\30 0 0 0 0 22\ 26\13 0 0 \9 0 0 10\
\11 0 0 0 0 15\ \15 0 0 0 0 0 11\ 36\8 0 0
- 7\ 33\21 0 0 0 8\ 18\16 0 0 \16 0 0 0 0 0
\10 0 0 0 \34 0 0 0 0 0 21\ 12\27 0 0 0 0
\14 0 0 7\ - 16\4 0 0 \35 0 0 0 0 0 24\ 8\
- 8\4 0 0 5\7 0 0 0 15\ 11\22 0 0 0 0 0 0
\30 0 0 0 0 0 \32 0 0 0 0 0 \15 0 0 0
\7 0 0 \8 0 0 - \12 0 0 0 0 \22 0 0 0
