12 16
- 11\ 37\ 15\ 14\ 3\ 30\ - 34\ 22\ - 8\ 16\ 29\ 20\ 8\
\37 0 0 0 0 0 0 \16 0 0 25\33 0 0 0 0 0
\22 0 0 0 0 0 0 7\36 0 0 0 0 0 0 0 0
\3 0 0 - 41\ 7\15 0 0 0 0 0 4\ 23\21 0 0 0
\12 0 0 7\34 0 0 0 0 0 11\27 0 0 0 0 28\ 23\
- 18\33 0 0 0 0 0 38\24 0 0 0 0 0 30\16 0 0
\16 0 0 0 0 11\4 0 0 5\12 0 0 \27 0 0 0 0
\12 0 0 \3 0 0 \8 0 0 0 4\ 13\ \16 0 0 0
\6 0 0 20\17 0 0 15\12 0 0 8\4 0 0 15\14 0 0 24\
- 14\ 4\24 0 0 0 0 0 8\29 0 0 0 0 0 0 0
\25 0 0 0 0 \28 0 0 0 0 \3 0 0 \9 0 0
\11 0 0 0 0 \12 0 0 0 0 \16 0 0 \13 0 0
