12 16
- - - 44\ 18\ - - 10\ 8\ 40\ - - 11\ 6\ - -
- - 28\15 0 0 20\ \19 0 0 0 - 11\7 0 0 28\ -
- 7\10 0 0 0 0 8\7 0 0 0 21\11 0 0 0 0 17\
\38 0 0 0 0 0 0 37\18 0 0 0 0 0 40\15 0 0
\21 0 0 0 16\14 0 0 0 22\15 0 0 6\29 0 0 0 0
- \20 0 0 0 7\37 0 0 0 0 0 0 13\12 0 0 -
- - 12\21 0 0 0 24\11 0 0 0 6\13 0 0 0 12\ -
- 4\4 0 0 19\22 0 0 0 0 0 0 24\7 0 0 0 6\
\11 0 0 0 0 16\14 0 0 8\20 0 0 0 20\12 0 0 0
\6 0 0 17\35 0 0 0 0 0 13\22 0 0 0 0 0 0
- \28 0 0 0 0 \15 0 0 0 \30 0 0 0 0 -
- - \14 0 0 - \11 0 0 0 - \15 0 0 - -
