12 16
- 11\ 22\ 26\ - 38\ 7\ 35\ 10\ 17\ 9\ 12\ - 35\ 8\ 20\
\23 0 0 0 \41 0 0 0 0 0 0 0 \21 0 0 0
\8 0 0 0 9\29 0 0 0 0 0 0 0 18\6 0 0 0
\34 0 0 0 0 0 0 0 4\ 6\ 20\33 0 0 0 0 0
- 24\ 6\23 0 0 0 \38 0 0 0 0 0 0 0 8\ 22\
\11 0 0 21\9 0 0 11\11 0 0 0 0 38\11 0 0 0 0
\15 0 0 0 6\14 0 0 11\ 13\ 19\17 0 0 8\20 0 0 0
\13 0 0 0 0 22\10 0 0 0 0 \4 0 0 27\13 0 0
- 23\ 11\41 0 0 0 0 0 0 0 7\22 0 0 0 19\ 9\
\16 0 0 0 0 0 12\ 4\ 16\29 0 0 0 0 0 0 0
\21 0 0 0 \28 0 0 0 0 0 0 0 \22 0 0 0
\12 0 0 0 \42 0 0 0 0 0 0 0 \7 0 0 0
