12 20
- - - 22\ 7\ 28\ - 21\ 11\ 18\ - 34\ 12\ 10\ - 24\ 12\ 9\ - -
- - 13\8 0 0 0 \7 0 0 0 16\19 0 0 0 \21 0 0 0 29\ -
- 20\30 0 0 0 0 42\38 0 0 0 0 0 0 0 38\11 0 0 0 0 23\
\20 0 0 0 15\23 0 0 0 17\22 0 0 0 4\23 0 0 0 34\18 0 0 0
\4 0 0 11\8 0 0 0 11\14 0 0 \5 0 0 16\7 0 0 0 11\17 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- 23\ 13\5 0 0 16\16 0 0 17\ 34\ - 17\ 16\16 0 0 17\15 0 0 11\ 12\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\8 0 0 19\6 0 0 0 24\14 0 0 14\15 0 0 16\9 0 0 0 20\4 0 0
\21 0 0 0 9\21 0 0 0 6\16 0 0 0 17\19 0 0 0 9\7 0 0 0
- \12 0 0 0 0 \34 0 0 0 0 0 0 0 \29 0 0 0 0 -
- - \23 0 0 0 \22 0 0 0 \21 0 0 0 \10 0 0 0 - -
