12 20
- 22\ 11\ 17\ - 21\ 21\ 7\ 27\ - 35\ 8\ 6\ 41\ - 21\ 9\ - 23\ 18\
\13 0 0 0 \29 0 0 0 0 \27 0 0 0 0 \13 0 0 12\8 0 0
\24 0 0 0 21\10 0 0 0 0 7\16 0 0 0 0 6\31 0 0 0 0 0
\23 0 0 0 0 0 0 44\21 0 0 0 19\10 0 0 0 0 11\21 0 0 0
- 22\ 10\21 0 0 0 3\33 0 0 0 0 0 4\13 0 0 6\4 0 0 23\ 24\
\24 0 0 0 0 10\11 0 0 5\ 23\11 0 0 0 0 16\33 0 0 0 0 0
\12 0 0 13\ 13\27 0 0 0 0 0 22\26 0 0 0 0 0 23\ 19\17 0 0
\15 0 0 0 0 0 15\21 0 0 0 0 13\ 12\12 0 0 15\28 0 0 0 0
- 20\ 24\10 0 0 20\14 0 0 8\16 0 0 0 0 0 22\10 0 0 0 6\ 20\
\23 0 0 0 16\27 0 0 0 0 15\20 0 0 0 8\38 0 0 0 0 0 0
\34 0 0 0 0 0 \17 0 0 0 0 \26 0 0 0 0 \14 0 0 0
\14 0 0 \10 0 0 \12 0 0 0 0 \11 0 0 0 0 \7 0 0 0
