12 20
- - 35\ 16\ 13\ 25\ 7\ - 8\ 17\ 20\ 35\ 13\ - 7\ 35\ 28\ 5\ 17\ -
- 11\34 0 0 0 0 0 \35 0 0 0 0 0 \32 0 0 0 0 0 27\
\22 0 0 0 0 0 0 \15 0 0 0 0 0 \28 0 0 0 0 0 0
\7 0 0 16\15 0 0 34\ - 16\23 0 0 0 4\ - 35\10 0 0 6\6 0 0
\30 0 0 0 0 0 0 10\11 0 0 \7 0 0 23\38 0 0 0 0 0 0
\22 0 0 0 \19 0 0 0 0 0 \33 0 0 0 0 0 \10 0 0 0
- 28\ 18\ 14\ - 17\14 0 0 14\ 22\ - 18\ 16\16 0 0 18\ - 7\ 32\ 16\
\20 0 0 0 14\16 0 0 0 0 0 \33 0 0 0 0 0 21\21 0 0 0
\22 0 0 0 0 0 0 \12 0 0 21\15 0 0 \21 0 0 0 0 0 0
\16 0 0 14\3 0 0 7\ - 15\16 0 0 0 7\ - 14\14 0 0 6\3 0 0
\22 0 0 0 0 0 0 \16 0 0 0 0 0 \22 0 0 0 0 0 0
- \35 0 0 0 0 0 \34 0 0 0 0 0 \34 0 0 0 0 0 -
