12 20
- - 34\ 16\ 9\ - 34\ 19\ 10\ - - - 16\ 6\ 32\ - 8\ 4\ 33\ -
- 24\19 0 0 0 \7 0 0 0 11\ - 10\19 0 0 0 \9 0 0 0 14\
\22 0 0 0 0 12\29 0 0 0 0 12\17 0 0 0 0 7\20 0 0 0 0
\15 0 0 18\28 0 0 0 0 33\6 0 0 0 33\11 0 0 0 0 17\12 0 0
\24 0 0 0 19\14 0 0 9\27 0 0 0 0 0 22\14 0 0 23\6 0 0 0
- \19 0 0 0 \19 0 0 0 0 \28 0 0 0 0 \22 0 0 0 -
- - 15\3 0 0 - 35\12 0 0 12\ - 10\14 0 0 17\ \15 0 0 34\ -
- 21\15 0 0 0 4\11 0 0 0 0 8\11 0 0 0 0 13\16 0 0 0 10\
\7 0 0 0 11\9 0 0 11\34 0 0 0 0 0 13\15 0 0 14\7 0 0 0
\13 0 0 12\13 0 0 0 0 3\6 0 0 0 16\10 0 0 0 0 5\14 0 0
\14 0 0 0 0 \12 0 0 0 0 \15 0 0 0 0 \12 0 0 0 0
- \22 0 0 0 \19 0 0 0 - - \22 0 0 0 \21 0 0 0 -
