12 20
- - - 21\ 4\ 35\ - - - 8\ 10\ 9\ - - - 19\ 5\ 7\ - -
- - 30\18 0 0 0 20\ - 45\6 0 0 0 45\ - 22\7 0 0 0 14\ -
- 20\32 0 0 0 0 0 19\33 0 0 0 0 0 8\16 0 0 0 0 0 20\
\22 0 0 0 \32 0 0 0 0 0 \18 0 0 0 0 0 \7 0 0 0
\14 0 0 19\ 7\11 0 0 0 0 - 9\ 14\29 0 0 0 0 8\ 21\9 0 0
\34 0 0 0 0 0 \15 0 0 12\16 0 0 0 0 \35 0 0 0 0 0
- 7\ 17\3 0 0 18\ - 21\15 0 0 0 0 0 21\ - 24\11 0 0 16\ 23\
\20 0 0 0 0 0 22\28 0 0 0 0 \12 0 0 14\16 0 0 0 0 0
\12 0 0 7\ \22 0 0 0 0 9\ - 23\30 0 0 0 0 - 23\13 0 0
\6 0 0 0 13\18 0 0 0 0 0 5\16 0 0 0 0 0 4\24 0 0 0
- \15 0 0 0 0 0 \34 0 0 0 0 0 \16 0 0 0 0 0 -
- - \21 0 0 0 - - \12 0 0 0 - - \20 0 0 0 - -
