12 20
- 20\ 30\ 6\ - 7\ 19\ - 12\ 7\ - 7\ 25\ - 13\ 21\ 6\ 12\ 26\ 21\
\6 0 0 0 15\9 0 0 \3 0 0 33\6 0 0 \21 0 0 0 0 0 0
\39 0 0 0 0 0 0 6\34 0 0 0 0 0 \38 0 0 0 0 0 0
\14 0 0 42\17 0 0 0 0 0 9\8 0 0 0 12\8 0 0 40\ 17\12 0 0
- 8\9 0 0 - 29\4 0 0 23\16 0 0 16\22 0 0 0 8\15 0 0 0 5\
\23 0 0 0 3\4 0 0 13\21 0 0 0 0 0 0 8\20 0 0 0 0 0
\18 0 0 0 0 0 11\17 0 0 4\8 0 0 34\ 4\22 0 0 0 6\12 0 0
- 28\ 10\29 0 0 0 0 0 0 0 28\10 0 0 0 0 15\9 0 0 26\ 13\
\21 0 0 0 \15 0 0 9\ 23\16 0 0 0 0 0 8\28 0 0 0 0 0
\16 0 0 0 15\12 0 0 0 0 8\23 0 0 0 9\9 0 0 0 7\3 0 0
\17 0 0 0 0 0 \18 0 0 0 0 \21 0 0 0 \28 0 0 0 0
\8 0 0 \14 0 0 \30 0 0 0 0 \11 0 0 0 \13 0 0 0 0
