12 20
- 13\ 26\ - 18\ 17\ 16\ 21\ - 13\ 35\ 7\ 19\ - 10\ 34\ 3\ - 37\ 6\
\13 0 0 \13 0 0 0 0 \11 0 0 0 0 \9 0 0 0 20\11 0 0
\9 0 0 27\27 0 0 0 0 20\29 0 0 0 0 13\32 0 0 0 0 0 0
\34 0 0 0 0 0 12\12 0 0 0 0 10\13 0 0 0 0 12\20 0 0 0
\6 0 0 0 12\29 0 0 0 0 28\28 0 0 0 0 28\10 0 0 0 0 16\
- 16\ 22\14 0 0 0 0 13\27 0 0 0 0 19\18 0 0 0 0 26\13 0 0
\30 0 0 0 0 34\10 0 0 0 0 34\10 0 0 0 0 34\28 0 0 0 0
\9 0 0 21\13 0 0 0 0 12\26 0 0 0 0 12\28 0 0 0 0 27\ 13\
- 19\23 0 0 0 0 9\28 0 0 0 0 6\27 0 0 0 0 10\7 0 0 0
\7 0 0 0 16\10 0 0 0 0 6\12 0 0 0 0 16\29 0 0 0 0 0
\35 0 0 0 0 0 0 \17 0 0 0 0 \14 0 0 0 0 \8 0 0
\14 0 0 \21 0 0 0 \10 0 0 0 0 \28 0 0 0 0 \16 0 0
