12 20
- 8\ 21\ 23\ 5\ - - - 10\ 12\ 7\ 27\ - - 26\ 6\ 21\ - 24\ 7\
\13 0 0 0 0 45\ - 8\11 0 0 0 0 - \7 0 0 0 29\13 0 0
\33 0 0 0 0 0 10\35 0 0 0 0 0 10\ 16\38 0 0 0 0 0 0
- 14\9 0 0 \18 0 0 0 10\ - 5\14 0 0 0 0 \22 0 0 0 -
\13 0 0 10\ \12 0 0 0 0 23\34 0 0 0 0 0 \8 0 0 11\ 13\
\10 0 0 0 10\3 0 0 6\10 0 0 0 \4 0 0 17\ 13\11 0 0 0 0
- - 16\7 0 0 0 12\11 0 0 0 20\ 13\ 7\16 0 0 0 0 \11 0 0
- 11\38 0 0 0 0 0 0 \42 0 0 0 0 0 0 0 11\ 28\7 0 0
\6 0 0 - \4 0 0 10\ 20\ 11\7 0 0 0 - 9\14 0 0 0 0 -
\4 0 0 9\ 11\32 0 0 0 0 0 0 0 16\ 14\30 0 0 0 0 11\ 3\
\28 0 0 0 0 0 \6 0 0 0 \19 0 0 0 0 \10 0 0 0 0
\13 0 0 0 0 - \23 0 0 0 - \16 0 0 - - \17 0 0 0
