12 20
- 16\ 25\ - - 9\ 17\ 8\ - - - - 34\ 12\ - - 8\ 23\ - -
\4 0 0 - \11 0 0 0 35\ - 3\ 21\16 0 0 - 21\14 0 0 - -
\13 0 0 - 23\27 0 0 0 0 4\13 0 0 0 0 \9 0 0 0 45\ 30\
\3 0 0 16\13 0 0 - 30\23 0 0 0 0 0 - 23\29 0 0 0 0 0
\21 0 0 0 0 4\ \20 0 0 0 \16 0 0 8\14 0 0 - \7 0 0
\33 0 0 0 0 0 24\14 0 0 18\ - 11\29 0 0 0 0 - \11 0 0
- 15\ 34\ 10\ \25 0 0 0 0 0 12\16 0 0 0 0 0 28\ 20\13 0 0
\9 0 0 0 13\ 11\15 0 0 \21 0 0 0 28\ - \11 0 0 0 0 -
\39 0 0 0 0 0 0 - 15\10 0 0 0 0 10\ 3\ 9\23 0 0 0 -
\10 0 0 \11 0 0 16\ 9\16 0 0 - 4\41 0 0 0 0 0 0 0 10\
\13 0 0 - \23 0 0 0 0 0 \26 0 0 0 0 0 0 \17 0 0
\5 0 0 - - \12 0 0 - - \13 0 0 0 - - - \6 0 0
