12 20
- 16\ 6\ - - - 19\ 8\ 23\ - - - 9\ 16\ 21\ - - - 22\ 11\
\8 0 0 45\ - 45\24 0 0 0 45\ - 45\18 0 0 0 45\ - 45\17 0 0
\19 0 0 0 7\16 0 0 0 0 0 5\32 0 0 0 0 0 3\13 0 0 0
- \33 0 0 0 0 0 \34 0 0 0 0 0 \15 0 0 0 0 0 -
- - 22\6 0 0 0 20\ - 24\14 0 0 0 10\ - 24\11 0 0 0 8\ -
- \12 0 0 \4 0 0 \13 0 0 \4 0 0 \13 0 0 \10 0 0 -
- \6 0 0 \13 0 0 \8 0 0 \3 0 0 \10 0 0 \3 0 0 -
- \17 0 0 5\16 0 0 \14 0 0 4\16 0 0 \15 0 0 7\12 0 0 -
- - 22\7 0 0 0 20\ - 7\8 0 0 0 22\ - 13\22 0 0 0 21\ -
- 16\34 0 0 0 0 0 9\24 0 0 0 0 0 13\25 0 0 0 0 0 7\
\20 0 0 0 \34 0 0 0 0 0 \15 0 0 0 0 0 \10 0 0 0
\16 0 0 - - \7 0 0 0 - - \24 0 0 0 - - \15 0 0
