12 20
- - - 17\ 37\ - 10\ 16\ 10\ 23\ - 30\ 15\ - 11\ 8\ 3\ 21\ - -
- - 12\16 0 0 10\28 0 0 0 0 \14 0 0 42\14 0 0 0 0 15\ -
- 13\42 0 0 0 0 0 0 0 0 34\41 0 0 0 0 0 0 0 0 13\
\15 0 0 22\6 0 0 0 28\29 0 0 0 0 0 0 0 10\ 41\7 0 0 0
\15 0 0 0 0 0 16\4 0 0 10\7 0 0 4\29 0 0 0 0 \7 0 0
- 29\ 18\15 0 0 \16 0 0 17\17 0 0 15\4 0 0 3\5 0 0 23\5 0 0
\22 0 0 0 0 13\45 0 0 0 0 0 0 0 0 0 \28 0 0 0 0
\15 0 0 \17 0 0 11\15 0 0 13\16 0 0 30\7 0 0 9\8 0 0 8\ 11\
\6 0 0 23\11 0 0 0 0 24\14 0 0 8\13 0 0 23\34 0 0 0 0 0
\21 0 0 0 7\ 9\28 0 0 0 0 0 0 0 11\9 0 0 0 15\3 0 0
- \42 0 0 0 0 0 0 0 0 \40 0 0 0 0 0 0 0 0 -
- - \12 0 0 0 0 \9 0 0 \27 0 0 0 0 \13 0 0 - -
