14 24
- - - 9\ 9\ 29\ - - 10\ 9\ 33\ - - 8\ 10\ 23\ - - 7\ 9\ 13\ 35\ - -
- - 30\23 0 0 0 8\ \19 0 0 0 - 33\19 0 0 0 23\ \28 0 0 0 0 17\ -
- 18\15 0 0 0 0 0 11\6 0 0 0 8\17 0 0 0 0 0 16\15 0 0 0 0 0 28\
\15 0 0 0 13\15 0 0 0 34\35 0 0 0 0 0 29\14 0 0 0 0 15\26 0 0 0 0
\17 0 0 11\15 0 0 5\12 0 0 14\14 0 0 0 21\30 0 0 0 0 16\16 0 0 0 0 0
\11 0 0 0 0 34\33 0 0 0 0 0 10\12 0 0 0 0 18\10 0 0 0 16\18 0 0 0
- \15 0 0 3\9 0 0 16\5 0 0 14\27 0 0 0 0 20\24 0 0 0 0 0 23\8 0 0
- 28\ 18\8 0 0 0 12\16 0 0 0 0 0 17\21 0 0 0 0 0 13\19 0 0 0 18\ -
\14 0 0 34\19 0 0 0 0 0 33\28 0 0 0 0 31\13 0 0 20\14 0 0 16\8 0 0 7\
\19 0 0 0 24\23 0 0 0 12\11 0 0 0 0 12\23 0 0 0 0 0 13\20 0 0 0 0
\33 0 0 0 0 0 10\14 0 0 0 0 7\21 0 0 0 22\17 0 0 14\12 0 0 21\6 0 0
\29 0 0 0 0 5\28 0 0 0 0 4\15 0 0 0 0 0 16\24 0 0 0 12\21 0 0 0
- \16 0 0 0 0 0 \17 0 0 0 0 0 \24 0 0 0 \15 0 0 0 0 0 -
- - \10 0 0 0 0 - \7 0 0 0 - \21 0 0 0 - \18 0 0 0 - -
