14 24
- 14\ 29\ - 13\ 18\ - 7\ 29\ 3\ 15\ - 20\ 8\ 11\ 20\ - 12\ 17\ - 11\ 15\ 12\ 29\
\12 0 0 12\14 0 0 \11 0 0 0 0 \11 0 0 0 0 \12 0 0 28\24 0 0 0 0
\16 0 0 0 0 0 11\15 0 0 0 0 17\27 0 0 0 0 14\29 0 0 0 0 0 0 0
- 22\14 0 0 \13 0 0 0 0 14\17 0 0 0 42\28 0 0 0 0 13\15 0 0 24\13 0 0
\17 0 0 22\ 20\17 0 0 12\27 0 0 0 0 4\4 0 0 17\13 0 0 0 0 16\10 0 0 0
\28 0 0 0 0 28\3 0 0 16\13 0 0 29\11 0 0 9\12 0 0 17\19 0 0 0 0 9\ 17\
\16 0 0 0 0 0 \12 0 0 11\ 26\42 0 0 0 0 0 0 0 0 38\27 0 0 0 0
- 9\ 37\17 0 0 0 14\30 0 0 0 0 0 \6 0 0 23\ 28\22 0 0 0 14\21 0 0 0
\22 0 0 0 16\21 0 0 0 \23 0 0 0 18\27 0 0 0 0 - 13\20 0 0 0 33\ 18\
\27 0 0 0 0 0 0 29\ - 9\12 0 0 0 0 \15 0 0 \23 0 0 0 0 0 0
- 22\24 0 0 0 22\8 0 0 7\15 0 0 21\16 0 0 11\8 0 0 9\14 0 0 14\ \14 0 0
\11 0 0 7\ 6\23 0 0 0 0 0 15\12 0 0 16\11 0 0 0 0 16\6 0 0 6\8 0 0
\17 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0
\34 0 0 0 0 0 \6 0 0 \13 0 0 \21 0 0 0 \14 0 0 \28 0 0 0 0
