14 24
- - - - 6\ 13\ 34\ - 8\ 10\ 28\ - - - 3\ 21\ 19\ - 8\ 13\ 16\ - - -
- - - 10\9 0 0 0 \19 0 0 0 12\ - 27\17 0 0 0 \13 0 0 0 12\ - -
- - 27\14 0 0 0 0 18\11 0 0 0 0 13\10 0 0 0 0 12\13 0 0 0 0 12\ -
- 21\17 0 0 12\29 0 0 0 0 17\24 0 0 0 0 \35 0 0 0 0 0 8\13 0 0 21\
\16 0 0 23\10 0 0 0 0 28\17 0 0 \15 0 0 24\ \3 0 0 13\3 0 0 21\9 0 0
\10 0 0 0 0 \30 0 0 0 0 - 16\17 0 0 0 8\ 14\11 0 0 6\29 0 0 0 0
\29 0 0 0 0 4\ \5 0 0 16\ 6\13 0 0 4\22 0 0 0 0 0 0 26\7 0 0 0
- 11\ 29\7 0 0 0 5\ 18\27 0 0 0 0 28\27 0 0 0 0 12\ \10 0 0 0 22\ 10\
\19 0 0 0 9\27 0 0 0 0 0 0 13\9 0 0 - 5\4 0 0 35\ \26 0 0 0 0
\12 0 0 0 0 27\4 0 0 29\ \10 0 0 0 - 21\11 0 0 0 0 12\16 0 0 0 0
\17 0 0 17\16 0 0 16\12 0 0 6\ \13 0 0 7\11 0 0 23\12 0 0 0 0 8\15 0 0
- \16 0 0 9\33 0 0 0 0 0 11\10 0 0 0 0 16\27 0 0 0 0 9\3 0 0 -
- - \30 0 0 0 0 \24 0 0 0 0 \29 0 0 0 0 \28 0 0 0 0 - -
- - - \7 0 0 0 \8 0 0 0 - - \17 0 0 0 \11 0 0 0 - - -
