14 24
- 8\ 14\ 20\ 14\ - 12\ 13\ - 25\ 23\ - 9\ 27\ 29\ - 16\ 27\ - 22\ 10\ - 33\ 16\
\27 0 0 0 0 \5 0 0 30\17 0 0 \7 0 0 0 \16 0 0 13\14 0 0 \15 0 0
\11 0 0 0 0 21\35 0 0 0 0 0 29\23 0 0 0 29\17 0 0 0 0 0 15\8 0 0
- 14\ 21\14 0 0 0 30\34 0 0 0 0 0 8\18 0 0 0 5\24 0 0 0 27\10 0 0 0
\17 0 0 22\23 0 0 0 17\14 0 0 19\38 0 0 0 0 0 0 0 23\29 0 0 0 0 0
\20 0 0 0 31\24 0 0 0 0 12\24 0 0 0 17\9 0 0 0 19\11 0 0 0 22\11 0 0
\29 0 0 0 0 0 0 0 13\8 0 0 0 20\24 0 0 0 16\29 0 0 0 0 0 10\ 15\
- 8\ 38\29 0 0 0 0 14\23 0 0 0 23\21 0 0 0 23\9 0 0 0 6\30 0 0 0 0
\6 0 0 4\3 0 0 16\10 0 0 0 9\6 0 0 0 17\23 0 0 0 34\22 0 0 0 0 0
\27 0 0 0 0 13\14 0 0 0 28\23 0 0 0 19\22 0 0 0 3\10 0 0 0 0 27\ 12\
- 10\16 0 0 0 0 0 16\10 0 0 0 0 22\22 0 0 0 11\9 0 0 0 10\9 0 0 0
\5 0 0 12\30 0 0 0 0 3\32 0 0 0 0 0 0 16\11 0 0 0 9\10 0 0 0 0
\22 0 0 0 \23 0 0 0 0 0 \22 0 0 0 0 0 0 \10 0 0 0 \15 0 0
\14 0 0 0 \4 0 0 \8 0 0 \9 0 0 \20 0 0 0 \24 0 0 0 \11 0 0
