14 24
- 15\ 34\ 15\ 11\ 21\ - 22\ 16\ 37\ - 13\ 5\ - 12\ 20\ - 19\ 16\ - 12\ 16\ 14\ 10\
\34 0 0 0 0 0 \24 0 0 0 8\4 0 0 \8 0 0 16\15 0 0 \28 0 0 0 0
\16 0 0 0 0 0 29\39 0 0 0 0 0 0 26\17 0 0 0 0 0 23\13 0 0 0 0
\12 0 0 13\13 0 0 0 0 12\8 0 0 0 12\35 0 0 0 0 0 6\5 0 0 4\4 0 0
\9 0 0 0 17\14 0 0 21\19 0 0 0 18\21 0 0 0 32\12 0 0 0 0 20\7 0 0 0
\29 0 0 0 0 20\11 0 0 0 0 6\6 0 0 0 14\4 0 0 15\22 0 0 0 0 17\ 16\
- 11\ 19\33 0 0 0 0 0 10\21 0 0 0 8\33 0 0 0 0 0 10\10 0 0 4\16 0 0
\7 0 0 0 12\14 0 0 0 0 39\7 0 0 0 29\13 0 0 29\15 0 0 29\21 0 0 0 0
\12 0 0 23\21 0 0 0 7\16 0 0 7\15 0 0 0 11\14 0 0 6\13 0 0 0 0 17\ 16\
\18 0 0 0 0 30\6 0 0 12\7 0 0 0 14\32 0 0 0 0 0 14\16 0 0 26\15 0 0
- 10\ 20\10 0 0 0 7\27 0 0 0 0 21\8 0 0 0 10\12 0 0 0 0 21\19 0 0 0
\39 0 0 0 0 0 0 16\7 0 0 14\23 0 0 0 14\13 0 0 13\18 0 0 0 0 0 8\
\6 0 0 0 \39 0 0 0 0 0 0 0 \22 0 0 0 0 0 0 \29 0 0 0 0
\20 0 0 0 \19 0 0 0 \19 0 0 0 \22 0 0 0 \17 0 0 \17 0 0 0 0
