14 24
- - - 27\ 5\ 39\ - 16\ 16\ 30\ - - - 8\ 29\ - 5\ 11\ 26\ - 26\ 11\ - -
- - 21\17 0 0 0 9\23 0 0 0 9\ - 18\8 0 0 27\21 0 0 0 \15 0 0 33\ -
- 6\45 0 0 0 0 0 0 0 0 0 20\32 0 0 0 0 0 0 0 12\9 0 0 0 9\
\7 0 0 0 7\20 0 0 0 11\41 0 0 0 0 0 0 0 11\30 0 0 0 0 0 0 0
\38 0 0 0 0 0 0 18\8 0 0 20\16 0 0 22\10 0 0 0 34\10 0 0 0 26\13 0 0
\6 0 0 26\6 0 0 5\16 0 0 7\11 0 0 0 0 14\35 0 0 0 0 0 13\20 0 0 0
- \4 0 0 16\7 0 0 0 29\15 0 0 19\13 0 0 0 17\10 0 0 12\11 0 0 0 0 -
- - 15\16 0 0 13\30 0 0 0 0 0 0 33\33 0 0 0 0 0 0 22\15 0 0 35\ -
- 22\29 0 0 0 0 34\13 0 0 17\7 0 0 0 18\14 0 0 3\20 0 0 0 14\13 0 0 11\
\15 0 0 0 19\15 0 0 0 0 0 13\30 0 0 0 0 26\6 0 0 6\14 0 0 25\12 0 0
\12 0 0 21\20 0 0 0 12\23 0 0 0 22\14 0 0 3\3 0 0 20\22 0 0 0 0 0 0
\29 0 0 0 0 0 0 0 9\36 0 0 0 0 0 0 0 3\6 0 0 0 15\23 0 0 0
- \7 0 0 0 \28 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 -
- - \15 0 0 \23 0 0 0 \13 0 0 - - \18 0 0 0 \15 0 0 0 - -
