14 24
- 6\ 9\ 33\ - 22\ 4\ 3\ 13\ 27\ - - - 10\ 41\ 13\ 7\ 16\ - 11\ 10\ 16\ - -
\6 0 0 0 \16 0 0 0 0 0 14\ - 14\34 0 0 0 0 0 \12 0 0 0 29\ -
\12 0 0 0 8\30 0 0 0 0 0 0 30\26 0 0 0 0 0 0 14\29 0 0 0 0 9\
\24 0 0 0 0 0 - 28\ 8\25 0 0 0 0 0 0 10\ \13 0 0 0 12\ \11 0 0
- 9\ 12\12 0 0 26\ \35 0 0 0 0 0 6\ \7 0 0 11\12 0 0 0 0 20\7 0 0
\34 0 0 0 0 0 12\11 0 0 \11 0 0 0 \30 0 0 0 0 - 26\28 0 0 0 0
\3 0 0 23\ \24 0 0 0 6\ - 41\11 0 0 17\8 0 0 0 12\ 11\10 0 0 0 8\ 9\
\10 0 0 0 11\10 0 0 0 0 14\14 0 0 15\3 0 0 \13 0 0 0 0 \7 0 0 0
- 6\ 27\23 0 0 0 - 35\12 0 0 0 \14 0 0 14\ - 12\21 0 0 0 11\ 34\4 0 0
\14 0 0 0 0 11\ 12\11 0 0 0 0 \11 0 0 0 29\14 0 0 \34 0 0 0 0 0
\9 0 0 \19 0 0 0 0 \16 0 0 15\ 12\17 0 0 0 0 0 - 9\9 0 0 7\ 6\
\12 0 0 6\ 16\19 0 0 0 12\ 4\38 0 0 0 0 0 0 13\ 14\ 4\16 0 0 0 0 0
- \23 0 0 0 0 \38 0 0 0 0 0 0 \25 0 0 0 0 0 0 \10 0 0 0
- - \11 0 0 0 \16 0 0 0 0 0 - - \33 0 0 0 0 0 \8 0 0 0
