14 24
- - - 23\ 12\ 9\ - - - 8\ 14\ - - - 23\ 7\ - - - 18\ 6\ 12\ - -
- - 17\20 0 0 0 23\ - 12\16 0 0 35\ - 26\14 0 0 8\ - 25\7 0 0 0 34\ -
- 24\16 0 0 0 0 0 9\11 0 0 0 0 8\12 0 0 0 0 12\34 0 0 0 0 0 12\
\23 0 0 0 \17 0 0 0 0 \24 0 0 0 0 0 \30 0 0 0 0 \9 0 0 0
\10 0 0 35\ - 18\11 0 0 8\ - 34\10 0 0 0 35\ - 14\8 0 0 30\ - 33\16 0 0
\21 0 0 0 13\29 0 0 0 0 10\34 0 0 0 0 0 9\11 0 0 0 0 23\8 0 0 0
- \16 0 0 0 0 0 \20 0 0 0 0 \27 0 0 0 0 \35 0 0 0 0 0 -
- - 26\8 0 0 0 33\ - 6\5 0 0 29\ - 34\7 0 0 8\ - 23\23 0 0 0 17\ -
- 10\34 0 0 0 0 0 11\26 0 0 0 0 20\28 0 0 0 0 22\25 0 0 0 0 0 24\
\10 0 0 0 \10 0 0 0 0 \34 0 0 0 0 0 \22 0 0 0 0 \21 0 0 0
\4 0 0 13\ - 9\12 0 0 17\ - 13\8 0 0 0 10\ - 17\6 0 0 9\ - 19\14 0 0
\23 0 0 0 16\30 0 0 0 0 5\26 0 0 0 0 0 6\30 0 0 0 0 16\12 0 0 0
- \25 0 0 0 0 0 \28 0 0 0 0 \29 0 0 0 0 \27 0 0 0 0 0 -
- - \11 0 0 0 - - \3 0 0 - - \3 0 0 - - \19 0 0 0 - -
