16 20
- 11\ 28\ 7\ 20\ - 16\ 3\ 17\ - 35\ 3\ 19\ - 34\ 9\ 10\ - - -
\10 0 0 0 0 \7 0 0 0 \8 0 0 0 \7 0 0 0 20\ - -
\28 0 0 0 0 15\9 0 0 0 17\19 0 0 0 14\26 0 0 0 0 11\ -
\8 0 0 24\22 0 0 0 6\24 0 0 0 7\23 0 0 0 7\21 0 0 0 7\
\20 0 0 0 21\13 0 0 0 16\19 0 0 0 20\15 0 0 0 14\8 0 0 0
- 20\ 8\17 0 0 11\8 0 0 0 9\10 0 0 0 24\20 0 0 0 22\3 0 0
\17 0 0 0 0 0 8\7 0 0 0 13\21 0 0 0 10\15 0 0 0 0 0
\9 0 0 21\11 0 0 0 18\23 0 0 0 7\19 0 0 0 24\9 0 0 8\ 19\
\22 0 0 0 6\22 0 0 0 13\7 0 0 0 6\23 0 0 0 23\20 0 0 0
- 21\ 21\12 0 0 13\6 0 0 0 8\7 0 0 0 15\18 0 0 0 22\3 0 0
\18 0 0 0 0 0 35\10 0 0 0 23\6 0 0 0 15\34 0 0 0 0 0
\7 0 0 11\8 0 0 0 15\22 0 0 0 12\7 0 0 0 12\17 0 0 12\ 21\
\19 0 0 0 10\24 0 0 0 18\19 0 0 0 20\22 0 0 0 21\11 0 0 0
- \23 0 0 0 5\23 0 0 0 3\8 0 0 0 9\16 0 0 0 16\12 0 0
- - \12 0 0 0 0 \8 0 0 0 \11 0 0 0 \14 0 0 0 0
- - - \13 0 0 0 \9 0 0 0 \21 0 0 0 \29 0 0 0 0
