16 20
- - 14\ 6\ 14\ 8\ - - 15\ 9\ 23\ - - - 10\ 6\ 3\ 17\ 32\ -
- 5\12 0 0 0 0 30\ \12 0 0 0 38\ - 14\25 0 0 0 0 0 13\
\38 0 0 0 0 0 0 12\28 0 0 0 0 8\29 0 0 0 0 0 0 0
\3 0 0 13\ - 26\18 0 0 0 \34 0 0 0 0 0 26\ - 11\3 0 0
- \3 0 0 4\12 0 0 0 0 19\ 3\6 0 0 \3 0 0 10\19 0 0 0
- - 11\21 0 0 0 0 \24 0 0 0 0 28\ - 14\27 0 0 0 0 -
- 12\15 0 0 0 0 11\ - 27\10 0 0 0 0 4\13 0 0 0 0 29\ -
\19 0 0 0 \13 0 0 6\17 0 0 \30 0 0 0 0 0 \14 0 0 4\
\4 0 0 17\ - 28\17 0 0 0 21\ - 10\15 0 0 0 26\ - 28\8 0 0
- \13 0 0 3\22 0 0 0 0 0 14\8 0 0 \8 0 0 3\20 0 0 0
- - 34\12 0 0 0 0 \11 0 0 0 0 34\ - 12\12 0 0 0 0 -
- 22\20 0 0 0 0 28\ - 10\29 0 0 0 0 9\23 0 0 0 0 28\ -
\10 0 0 0 \17 0 0 16\14 0 0 13\ \29 0 0 0 0 \16 0 0 9\
\17 0 0 8\ 11\ 3\17 0 0 0 0 0 6\9 0 0 0 12\ 3\ 7\6 0 0
\36 0 0 0 0 0 0 0 \10 0 0 0 0 \33 0 0 0 0 0 0
- \32 0 0 0 0 0 - - \21 0 0 0 - \13 0 0 0 0 -
