12 18
- 10\ 17\ 24\ - 10\ 3\ 34\ - 8\ 24\ - 36\ 4\ 20\ - 16\ 9\
\21 0 0 0 \13 0 0 0 14\15 0 0 \7 0 0 0 14\4 0 0
\11 0 0 0 25\22 0 0 0 0 0 0 21\37 0 0 0 0 0 0
- 11\25 0 0 0 0 43\16 0 0 29\23 0 0 0 19\13 0 0 0 10\
\6 0 0 12\21 0 0 0 0 0 0 10\11 0 0 0 0 18\8 0 0
\15 0 0 0 0 12\13 0 0 6\32 0 0 0 0 0 11\15 0 0 0
- 15\ 25\29 0 0 0 0 11\6 0 0 0 34\29 0 0 0 0 31\ 6\
\22 0 0 0 29\21 0 0 0 0 0 10\17 0 0 25\10 0 0 0 0
\10 0 0 4\17 0 0 0 0 14\38 0 0 0 0 0 0 9\7 0 0
- 8\19 0 0 0 9\22 0 0 0 3\9 0 0 3\15 0 0 0 0 6\
\22 0 0 0 0 0 0 \21 0 0 0 0 0 0 \16 0 0 0
\9 0 0 \15 0 0 0 \4 0 0 \16 0 0 0 \10 0 0 0
