12 18
- 5\ 17\ - 24\ 8\ - - 11\ 7\ 20\ - - 13\ 6\ - 9\ 3\
\9 0 0 23\8 0 0 - \23 0 0 0 - \12 0 0 22\4 0 0
\32 0 0 0 0 0 6\ 34\8 0 0 0 42\ 7\21 0 0 0 0 0
- - 23\27 0 0 0 0 0 0 \25 0 0 0 0 0 0 27\ -
- 15\10 0 0 6\ 16\11 0 0 23\ - 7\4 0 0 6\ 24\17 0 0 24\
\16 0 0 \18 0 0 0 0 0 \23 0 0 0 0 0 \8 0 0
\3 0 0 \12 0 0 24\16 0 0 \8 0 0 10\8 0 0 \12 0 0
\9 0 0 6\20 0 0 0 0 0 \20 0 0 0 0 0 12\16 0 0
- \12 0 0 18\ 11\8 0 0 10\ - 17\6 0 0 7\ 20\7 0 0 -
- 16\ 10\31 0 0 0 0 0 0 16\26 0 0 0 0 0 0 13\ 6\
\27 0 0 0 0 0 - \13 0 0 0 - \24 0 0 0 0 0
\17 0 0 \7 0 0 - \19 0 0 0 - \13 0 0 \14 0 0
