12 18
- 7\ 10\ 39\ - 14\ 9\ 42\ - 15\ 10\ 13\ 41\ - 7\ 6\ 41\ 13\
\9 0 0 0 \23 0 0 0 \11 0 0 0 0 \20 0 0 0 0
\17 0 0 0 29\6 0 0 0 19\29 0 0 0 0 15\13 0 0 0 0
\15 0 0 0 0 0 \22 0 0 0 16\23 0 0 0 0 \12 0 0
- 17\ 28\15 0 0 - 28\14 0 0 0 0 42\7 0 0 - 33\3 0 0
\26 0 0 0 0 27\24 0 0 0 \29 0 0 0 0 27\9 0 0 16\
\31 0 0 0 0 0 0 0 4\ - 13\30 0 0 0 0 0 0 0
- 19\14 0 0 \26 0 0 0 0 16\19 0 0 0 \22 0 0 0 0
\8 0 0 - 10\12 0 0 23\11 0 0 0 0 - 14\4 0 0 7\ 15\
\4 0 0 10\20 0 0 0 0 12\18 0 0 0 5\34 0 0 0 0 0
\28 0 0 0 0 \29 0 0 0 0 \7 0 0 0 \10 0 0 0
\11 0 0 0 0 \15 0 0 0 0 \16 0 0 0 \16 0 0 0
