12 18
- - - 12\ 8\ - - 24\ 14\ - 4\ 16\ - - 13\ 7\ - -
- - 19\5 0 0 - \17 0 0 \3 0 0 - \5 0 0 20\ -
- 14\24 0 0 0 19\ 3\7 0 0 \9 0 0 12\ 8\23 0 0 0 13\
\6 0 0 - \19 0 0 0 - - \6 0 0 0 - \6 0 0
\16 0 0 7\ 13\7 0 0 0 7\ 24\ 9\13 0 0 0 20\ 10\17 0 0
- \14 0 0 0 0 \19 0 0 0 0 0 \11 0 0 0 0 -
- - 10\13 0 0 18\ - 29\10 0 0 0 29\ - 12\11 0 0 12\ -
- 10\15 0 0 0 0 4\29 0 0 0 0 0 4\28 0 0 0 0 8\
\11 0 0 - \10 0 0 0 - - \7 0 0 0 - \3 0 0
\4 0 0 9\ 4\18 0 0 0 11\ - 12\13 0 0 0 4\ 16\11 0 0
- \7 0 0 0 - \3 0 0 \17 0 0 - \10 0 0 0 -
- - \8 0 0 - \13 0 0 \8 0 0 - \12 0 0 - -
