12 18
- - - 11\ 11\ - 24\ 16\ - - - 15\ 9\ - 6\ 10\ - -
- 11\ 45\9 0 0 45\9 0 0 29\ - 30\10 0 0 45\3 0 0 45\ 29\
\36 0 0 0 0 0 0 0 0 4\42 0 0 0 0 0 0 0 0
\19 0 0 0 16\45 0 0 0 0 0 0 0 0 0 14\24 0 0 0
\3 0 0 14\17 0 0 6\22 0 0 0 0 0 6\11 0 0 24\7 0 0
\39 0 0 0 0 0 0 0 0 \38 0 0 0 0 0 0 0 0
- 15\8 0 0 11\6 0 0 27\ 15\ - 12\ 20\4 0 0 11\16 0 0 25\
\44 0 0 0 0 0 0 0 0 11\43 0 0 0 0 0 0 0 0
\6 0 0 21\17 0 0 24\20 0 0 0 0 0 20\4 0 0 20\12 0 0
\24 0 0 0 9\45 0 0 0 0 0 0 0 0 0 11\7 0 0 0
\38 0 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 0
- - \10 0 0 \14 0 0 - - \10 0 0 \14 0 0 - -
