12 18
- - - 9\ 12\ - - 13\ 16\ 7\ - - 10\ 11\ - - 18\ 4\
- - \10 0 0 10\ \23 0 0 0 29\ \6 0 0 16\ \11 0 0
- - 26\6 0 0 0 30\21 0 0 0 0 27\9 0 0 0 10\7 0 0
- 13\15 0 0 9\9 0 0 0 6\ 13\24 0 0 0 17\12 0 0 0 -
\17 0 0 \12 0 0 0 \29 0 0 0 0 \11 0 0 0 - -
\9 0 0 13\21 0 0 0 14\16 0 0 0 0 12\21 0 0 0 10\ -
- \10 0 0 28\ 6\8 0 0 30\ 6\ 12\9 0 0 20\ 8\3 0 0 14\
- - \18 0 0 0 \12 0 0 0 0 \11 0 0 0 \7 0 0
- - 16\11 0 0 0 11\26 0 0 0 0 21\19 0 0 0 15\13 0 0
- 17\13 0 0 0 4\21 0 0 0 17\ 7\8 0 0 0 15\9 0 0 -
\12 0 0 \7 0 0 0 \30 0 0 0 0 \9 0 0 0 - -
\16 0 0 - \7 0 0 - \17 0 0 0 - \17 0 0 - -
