12 18
- 29\ 15\ 11\ 16\ 7\ - 21\ 29\ - 13\ 7\ 14\ - 43\ 8\ 22\ 38\
\34 0 0 0 0 0 7\8 0 0 \18 0 0 0 \30 0 0 0 0
\38 0 0 0 0 0 0 0 0 15\6 0 0 0 22\13 0 0 0 0
\10 0 0 14\ 41\ 38\16 0 0 0 0 0 11\21 0 0 0 \7 0 0
\22 0 0 0 0 0 0 14\17 0 0 40\10 0 0 0 0 \10 0 0
- 22\ 39\24 0 0 0 \19 0 0 0 0 0 \3 0 0 23\11 0 0
\16 0 0 0 0 0 \8 0 0 18\3 0 0 \34 0 0 0 0 0
\16 0 0 \9 0 0 18\35 0 0 0 0 0 7\16 0 0 0 29\ 14\
\9 0 0 \11 0 0 0 0 7\14 0 0 24\23 0 0 0 0 0 0
\7 0 0 10\23 0 0 0 7\18 0 0 0 0 0 9\ 16\ 5\9 0 0
\22 0 0 0 0 \15 0 0 0 \38 0 0 0 0 0 0 0 0
\28 0 0 0 0 \6 0 0 0 \12 0 0 \34 0 0 0 0 0
