15 20
- 13\ 41\ 24\ - 14\ 9\ 17\ 17\ - 23\ 22\ 4\ - 10\ 14\ 14\ - 16\ 33\
\12 0 0 0 \27 0 0 0 0 \7 0 0 0 29\9 0 0 0 \13 0 0
\23 0 0 0 24\13 0 0 0 0 16\37 0 0 0 0 0 0 0 24\6 0 0
\33 0 0 0 0 0 23\28 0 0 0 0 0 12\8 0 0 24\27 0 0 0 0
\8 0 0 4\17 0 0 0 0 26\41 0 0 0 0 0 0 0 9\7 0 0 0
- 20\12 0 0 0 34\21 0 0 0 0 23\8 0 0 0 3\18 0 0 0 0 0
\25 0 0 0 0 0 0 29\16 0 0 0 0 11\15 0 0 0 0 0 38\ 6\
\13 0 0 18\6 0 0 10\11 0 0 0 0 17\11 0 0 0 0 32\15 0 0 0
\7 0 0 0 10\30 0 0 0 0 22\20 0 0 0 0 23\8 0 0 11\9 0 0
- 16\ 34\17 0 0 0 0 0 4\10 0 0 0 0 20\37 0 0 0 0 0 0
\35 0 0 0 0 0 11\7 0 0 0 21\20 0 0 0 0 14\7 0 0 0 20\
\20 0 0 0 24\40 0 0 0 0 0 0 0 12\20 0 0 0 0 23\6 0 0
\16 0 0 0 0 6\10 0 0 16\18 0 0 0 0 0 10\34 0 0 0 0 0
\7 0 0 \30 0 0 0 0 0 0 0 \27 0 0 0 0 \12 0 0 0
\10 0 0 \11 0 0 0 \13 0 0 0 \11 0 0 0 0 \21 0 0 0
