15 20
- 6\ 24\ 33\ 4\ - 22\ 6\ - 35\ 14\ - 38\ 7\ - 13\ 8\ 42\ 23\ 10\
\14 0 0 0 0 17\6 0 0 \16 0 0 13\6 0 0 \16 0 0 0 0 0
\29 0 0 0 0 0 0 0 15\19 0 0 0 0 0 19\34 0 0 0 0 0
\19 0 0 0 24\17 0 0 0 0 0 39\32 0 0 0 0 0 16\11 0 0 0
- 15\ 24\29 0 0 0 0 21\34 0 0 0 0 0 23\19 0 0 0 0 39\ 19\
\21 0 0 0 0 29\15 0 0 0 0 0 19\11 0 0 0 20\29 0 0 0 0
\9 0 0 42\27 0 0 0 0 0 10\22 0 0 0 0 0 0 34\7 0 0 0
- 19\19 0 0 0 0 18\21 0 0 0 0 0 15\29 0 0 0 0 0 0 0
\42 0 0 0 0 0 0 0 27\30 0 0 0 0 0 38\29 0 0 0 0 10\
\6 0 0 0 8\37 0 0 0 0 0 0 16\34 0 0 0 0 0 15\11 0 0
\30 0 0 0 0 29\6 0 0 0 19\15 0 0 0 0 0 15\23 0 0 0 0
- 15\ 7\16 0 0 0 0 10\15 0 0 0 0 0 24\26 0 0 0 0 6\ 14\
\13 0 0 0 13\18 0 0 0 0 0 3\25 0 0 0 0 0 9\7 0 0 0
\34 0 0 0 0 0 \32 0 0 0 0 0 \41 0 0 0 0 0 0 0
\17 0 0 0 0 0 \10 0 0 \4 0 0 \11 0 0 \10 0 0 0 0
