15 20
- 12\ 29\ 15\ - 6\ 10\ 21\ - 26\ 11\ 25\ - 4\ 38\ 9\ 15\ - 38\ 12\
\24 0 0 0 13\13 0 0 0 \23 0 0 0 17\11 0 0 0 0 \5 0 0
\28 0 0 0 0 0 0 0 7\42 0 0 0 0 0 0 0 0 4\14 0 0
- 10\8 0 0 0 21\11 0 0 0 0 37\6 0 0 30\22 0 0 0 0 0 0
\4 0 0 19\11 0 0 0 29\29 0 0 0 0 0 0 0 9\10 0 0 0 9\
\34 0 0 0 0 0 8\6 0 0 14\17 0 0 23\14 0 0 0 0 33\10 0 0
\6 0 0 0 10\9 0 0 0 7\41 0 0 0 0 0 0 0 9\17 0 0 0
\15 0 0 0 0 16\34 0 0 0 0 0 7\11 0 0 11\16 0 0 0 28\ 14\
- 9\ 37\10 0 0 0 39\6 0 0 26\22 0 0 0 0 0 16\11 0 0 0 0
\7 0 0 0 20\41 0 0 0 0 0 0 0 14\16 0 0 0 29\23 0 0 0
\15 0 0 8\30 0 0 0 0 15\16 0 0 29\8 0 0 18\19 0 0 0 0 0
- 7\13 0 0 0 6\30 0 0 0 0 0 0 0 19\22 0 0 0 9\5 0 0
\22 0 0 0 0 0 0 9\9 0 0 7\14 0 0 0 0 12\13 0 0 0 9\
\9 0 0 \38 0 0 0 0 0 0 0 0 \29 0 0 0 0 0 0 0
\10 0 0 \11 0 0 0 0 \9 0 0 0 \24 0 0 0 \21 0 0 0
