15 20
- 11\ 30\ 7\ 22\ - 20\ 4\ - 13\ 12\ 20\ - 22\ 5\ 24\ - 11\ 37\ 13\
\11 0 0 0 0 \7 0 0 15\18 0 0 0 \13 0 0 0 30\24 0 0 0
\30 0 0 0 0 30\38 0 0 0 0 0 0 16\29 0 0 0 0 0 0 0
\5 0 0 11\19 0 0 0 15\6 0 0 16\11 0 0 0 12\15 0 0 16\11 0 0
- 10\13 0 0 0 0 15\17 0 0 0 0 34\21 0 0 0 11\20 0 0 0 16\
\13 0 0 0 6\25 0 0 0 0 16\23 0 0 0 8\38 0 0 0 0 0 0
\6 0 0 34\15 0 0 0 7\5 0 0 8\18 0 0 0 0 0 20\11 0 0 0
\26 0 0 0 0 23\4 0 0 19\15 0 0 0 0 0 23\12 0 0 0 30\ 23\
- 7\ 23\17 0 0 0 11\16 0 0 0 0 0 19\8 0 0 15\27 0 0 0 0
\7 0 0 0 29\34 0 0 0 0 0 8\17 0 0 9\17 0 0 0 6\13 0 0
\38 0 0 0 0 0 0 25\8 0 0 0 20\22 0 0 0 0 29\10 0 0 0
- 14\17 0 0 0 8\7 0 0 0 21\12 0 0 0 0 23\28 0 0 0 0 17\
\4 0 0 10\6 0 0 6\16 0 0 0 7\6 0 0 6\18 0 0 0 12\8 0 0
\29 0 0 0 0 0 0 0 \39 0 0 0 0 0 0 \29 0 0 0 0
\23 0 0 0 \13 0 0 0 \11 0 0 0 \8 0 0 \13 0 0 0 0
