15 20
- 17\ 18\ 21\ 18\ - 4\ 6\ 16\ - 39\ 6\ 18\ - 18\ 8\ - 6\ 26\ 4\
\29 0 0 0 0 \13 0 0 0 20\22 0 0 0 \16 0 0 22\8 0 0 0
\14 0 0 0 0 3\34 0 0 0 0 0 0 0 27\27 0 0 0 0 0 0
- 16\16 0 0 0 0 3\19 0 0 0 0 32\6 0 0 0 17\7 0 0 0 17\
\11 0 0 0 20\3 0 0 3\18 0 0 0 0 30\17 0 0 0 0 11\3 0 0
\27 0 0 0 0 12\3 0 0 17\25 0 0 0 0 0 24\28 0 0 0 0 0
- 11\ 43\13 0 0 0 19\11 0 0 24\33 0 0 0 0 0 17\12 0 0 0 0
\13 0 0 40\6 0 0 0 35\14 0 0 34\39 0 0 0 0 0 0 0 28\ 19\
\26 0 0 0 0 19\9 0 0 9\30 0 0 0 0 23\4 0 0 24\15 0 0 0
\16 0 0 0 17\33 0 0 0 0 0 0 0 12\28 0 0 0 0 16\4 0 0
\33 0 0 0 0 0 18\28 0 0 0 0 20\6 0 0 0 24\29 0 0 0 0
- 12\39 0 0 0 0 0 0 0 16\26 0 0 0 0 19\19 0 0 0 0 17\
\22 0 0 0 14\6 0 0 0 15\23 0 0 0 17\21 0 0 0 13\10 0 0 0
\11 0 0 0 0 \39 0 0 0 0 0 0 0 \37 0 0 0 0 0 0
\17 0 0 0 0 \9 0 0 0 \24 0 0 0 \7 0 0 0 \16 0 0
