14 20
- 14\ 7\ 34\ - - - 8\ 21\ - - - 4\ 8\ - - - 16\ 6\ 8\
\17 0 0 0 31\ - 19\7 0 0 29\ - 14\4 0 0 9\ - 34\7 0 0 0
\23 0 0 0 0 7\29 0 0 0 0 11\11 0 0 0 0 4\22 0 0 0 0
- \34 0 0 0 0 0 \29 0 0 0 0 4\22 0 0 0 0 0 0 -
- - 16\10 0 0 0 0 16\ 11\11 0 0 0 0 32\10 0 0 0 0 34\ -
- 7\18 0 0 0 22\ \20 0 0 0 0 8\4 0 0 17\ 9\13 0 0 0 23\
\4 0 0 \16 0 0 13\4 0 0 10\4 0 0 22\24 0 0 0 0 \14 0 0
\6 0 0 - 34\15 0 0 0 0 0 29\35 0 0 0 0 0 16\ \17 0 0
\3 0 0 30\30 0 0 0 0 3\16 0 0 11\16 0 0 \4 0 0 34\16 0 0
- \23 0 0 0 4\ 9\4 0 0 7\29 0 0 0 0 23\ 4\17 0 0 0 -
- - 24\10 0 0 0 0 23\15 0 0 0 0 7\ \21 0 0 0 0 19\ -
- 16\38 0 0 0 0 0 0 16\11 0 0 0 0 4\16 0 0 0 0 0 16\
\29 0 0 0 0 \18 0 0 0 0 \15 0 0 0 0 \30 0 0 0 0
\23 0 0 0 - - \16 0 0 - - \4 0 0 - - \23 0 0 0
