14 20
- - 34\ 23\ 9\ - - 29\ 7\ 10\ 23\ 15\ - - - 16\ 7\ - 41\ 12\
- 7\23 0 0 0 6\ \24 0 0 0 0 0 17\ - 22\13 0 0 16\17 0 0
\16 0 0 0 0 0 3\39 0 0 0 0 0 0 3\22 0 0 0 0 0 0
\19 0 0 0 \11 0 0 0 0 \16 0 0 0 0 0 3\10 0 0 0 0
\9 0 0 20\ 29\11 0 0 0 11\ 24\ 17\16 0 0 0 0 0 \16 0 0 8\
- \24 0 0 0 16\ - 10\19 0 0 0 0 29\ 6\4 0 0 11\ 23\3 0 0
- - 28\23 0 0 0 21\29 0 0 0 0 7\18 0 0 0 4\29 0 0 0 0
- 3\39 0 0 0 0 0 0 0 0 9\36 0 0 0 0 0 0 0 0 -
\11 0 0 0 0 4\6 0 0 0 34\11 0 0 0 0 \7 0 0 0 15\ -
\4 0 0 13\ \3 0 0 3\ 23\24 0 0 0 0 29\ 7\ 17\6 0 0 0 24\
- 18\3 0 0 8\16 0 0 0 0 0 7\ - 11\23 0 0 0 - 24\9 0 0
\11 0 0 0 0 7\24 0 0 0 0 0 17\11 0 0 0 0 16\19 0 0 0
\39 0 0 0 0 0 0 \39 0 0 0 0 0 0 \35 0 0 0 0 0
\15 0 0 \4 0 0 - - \29 0 0 0 0 0 - \21 0 0 0 -
