14 20
- 24\ 23\ - 29\ 16\ - - 38\ 16\ 28\ - 22\ 4\ 10\ - - - 6\ 7\
\16 0 0 16\17 0 0 - 24\22 0 0 0 12\7 0 0 0 23\ - 15\4 0 0
\34 0 0 0 0 0 21\45 0 0 0 0 0 0 0 0 0 39\6 0 0 0
\30 0 0 0 0 15\20 0 0 0 4\24 0 0 0 4\21 0 0 0 0 0 0
- - 34\43 0 0 0 0 0 0 0 0 6\30 0 0 0 0 0 0 25\ -
- 7\12 0 0 22\15 0 0 16\4 0 0 7\7 0 0 0 32\ 3\22 0 0 0 7\
\10 0 0 0 0 16\14 0 0 0 7\8 0 0 0 4\21 0 0 0 0 0 0
\9 0 0 17\19 0 0 0 0 39\6 0 0 0 21\18 0 0 0 0 33\4 0 0
\39 0 0 0 0 0 0 4\12 0 0 0 3\7 0 0 0 4\10 0 0 0 0
- \9 0 0 0 23\ 18\8 0 0 0 14\5 0 0 18\3 0 0 29\16 0 0 -
- 24\ 23\21 0 0 0 0 0 0 16\40 0 0 0 0 0 0 0 0 8\ 13\
\39 0 0 0 0 0 0 16\24 0 0 0 4\23 0 0 0 17\19 0 0 0 0
\20 0 0 0 \45 0 0 0 0 0 0 0 0 0 \35 0 0 0 0 0
\16 0 0 - - \21 0 0 0 \6 0 0 0 - \16 0 0 \4 0 0
