14 20
- - - 11\ 4\ 28\ - - - 28\ 22\ - 3\ 7\ 35\ - - 20\ 28\ 16\
- - 29\7 0 0 0 8\ - 17\17 0 0 11\10 0 0 0 - 19\24 0 0 0
- 16\15 0 0 0 0 0 40\41 0 0 0 0 0 0 0 15\29 0 0 0 0
\23 0 0 0 11\28 0 0 0 0 0 0 0 22\21 0 0 0 0 0 0 7\
\16 0 0 34\38 0 0 0 0 0 0 16\11 0 0 28\23 0 0 0 34\4 0 0
- \29 0 0 0 0 16\3 0 0 4\16 0 0 0 0 0 \10 0 0 0 0
- - 29\21 0 0 0 0 0 20\4 0 0 7\16 0 0 17\ - 10\15 0 0 0
- 16\13 0 0 0 \45 0 0 0 0 0 0 0 0 0 22\15 0 0 0 -
\14 0 0 0 10\ - 25\17 0 0 30\3 0 0 30\34 0 0 0 0 0 21\ -
\10 0 0 0 0 6\17 0 0 0 0 0 11\11 0 0 7\13 0 0 0 0 16\
\17 0 0 15\7 0 0 0 23\16 0 0 7\22 0 0 0 0 0 0 23\15 0 0
- 4\39 0 0 0 0 0 0 3\28 0 0 0 0 0 0 0 3\23 0 0 0
\12 0 0 0 0 \41 0 0 0 0 0 0 0 \16 0 0 0 0 0 -
\7 0 0 0 - \12 0 0 0 \4 0 0 - - \12 0 0 0 - -
