14 20
- 12\ 12\ 35\ - - - 38\ 3\ 8\ - 14\ 16\ 21\ - - - 16\ 21\ 8\
\23 0 0 0 27\ - 13\6 0 0 0 4\23 0 0 0 24\ - 30\7 0 0 0
\11 0 0 0 0 4\45 0 0 0 0 0 0 0 0 0 16\30 0 0 0 0
- \21 0 0 0 0 0 0 13\7 0 0 0 17\32 0 0 0 0 0 0 -
- - 16\38 0 0 0 0 0 0 5\ 7\ 3\39 0 0 0 0 0 0 35\ -
- 7\23 0 0 0 6\ 7\29 0 0 0 0 0 0 0 23\ 10\16 0 0 0 23\
\3 0 0 \22 0 0 0 0 \7 0 0 0 \16 0 0 0 0 \17 0 0
\6 0 0 - 25\4 0 0 21\ - 10\ 7\ 13\ - 38\16 0 0 16\ \11 0 0
\4 0 0 16\11 0 0 0 0 10\23 0 0 0 4\16 0 0 0 0 34\16 0 0
- \7 0 0 0 4\ 23\29 0 0 0 0 0 0 0 6\ 3\23 0 0 0 -
- - 18\27 0 0 0 0 0 0 16\ 4\ 11\21 0 0 0 0 0 0 15\ -
- 12\21 0 0 0 0 0 0 16\7 0 0 0 3\21 0 0 0 0 0 0 17\
\30 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \20 0 0 0 0
\11 0 0 0 - - \23 0 0 0 \6 0 0 0 - - \23 0 0 0
