14 20
- 4\ 7\ 38\ - - - 17\ 15\ - 29\ 16\ 21\ 11\ 11\ - - - 23\ 22\
\6 0 0 0 17\ - 17\9 0 0 \34 0 0 0 0 0 7\ - 16\16 0 0
\11 0 0 0 0 24\23 0 0 0 23\22 0 0 0 0 0 0 22\16 0 0 0
- \34 0 0 0 0 0 \24 0 0 0 29\7 0 0 16\15 0 0 0 0 0
- - 11\24 0 0 0 24\ 15\ 16\30 0 0 0 0 16\34 0 0 0 0 0 -
- 13\9 0 0 38\35 0 0 0 0 0 7\25 0 0 0 0 3\3 0 0 30\ 16\
\29 0 0 0 0 16\21 0 0 0 29\11 0 0 0 0 23\16 0 0 0 0 0
\3 0 0 34\22 0 0 0 0 25\21 0 0 0 13\16 0 0 0 0 39\11 0 0
\29 0 0 0 0 0 17\11 0 0 0 0 6\21 0 0 0 7\29 0 0 0 0
- - 11\16 0 0 23\19 0 0 0 0 11\16 0 0 0 0 0 12\16 0 0 -
- 7\35 0 0 0 0 0 14\14 0 0 0 0 8\ - 10\8 0 0 0 19\ -
\18 0 0 0 0 0 8\16 0 0 14\8 0 0 0 4\34 0 0 0 0 0 7\
\12 0 0 0 \39 0 0 0 0 0 0 \6 0 0 0 \10 0 0 0 0
\4 0 0 - - \16 0 0 0 0 0 \4 0 0 - - \23 0 0 0
