14 20
- - - 17\ 16\ - - - 7\ 15\ 23\ 41\ 11\ - - - 10\ 3\ - -
- - 26\16 0 0 3\ - 30\34 0 0 0 0 0 29\ - 8\4 0 0 34\ -
- 23\20 0 0 0 0 11\41 0 0 0 0 0 0 0 11\10 0 0 0 0 23\
\16 0 0 23\16 0 0 0 0 0 \16 0 0 12\22 0 0 0 0 24\16 0 0
\18 0 0 0 - 34\13 0 0 7\ - 16\21 0 0 0 0 34\ \24 0 0 0
\23 0 0 0 14\18 0 0 0 0 41\22 0 0 0 0 0 0 24\23 0 0 0
- \16 0 0 0 0 0 \15 0 0 0 0 21\ \35 0 0 0 0 0 -
- - 27\ 7\16 0 0 25\ \4 0 0 15\16 0 0 - 30\17 0 0 7\ 35\ -
- 8\34 0 0 0 0 0 11\ 17\30 0 0 0 0 11\34 0 0 0 0 0 23\
\15 0 0 0 \38 0 0 0 0 0 0 \21 0 0 0 0 \17 0 0 0
\7 0 0 0 7\ 5\29 0 0 0 0 23\ - 7\10 0 0 4\ 7\15 0 0 0
\4 0 0 4\10 0 0 0 0 13\16 0 0 10\16 0 0 0 0 0 4\16 0 0
- \11 0 0 0 0 \41 0 0 0 0 0 0 0 \11 0 0 0 0 -
- - \4 0 0 - - \16 0 0 0 0 0 - - \4 0 0 - -
