14 20
- - 25\ 16\ 23\ - - 22\ 3\ 34\ - 7\ 4\ - - 11\ 7\ - 30\ 12\
- 16\22 0 0 0 - 34\7 0 0 0 23\4 0 0 11\ \4 0 0 16\13 0 0
\29 0 0 0 0 16\37 0 0 0 0 0 0 0 0 29\16 0 0 0 0 0
\17 0 0 8\21 0 0 0 0 \16 0 0 0 7\33 0 0 0 0 0 0 0
- \4 0 0 16\24 0 0 0 17\16 0 0 9\11 0 0 0 0 15\9 0 0 -
- - 6\3 0 0 13\28 0 0 0 0 7\20 0 0 0 0 8\3 0 0 23\ 16\
- 16\42 0 0 0 0 0 0 0 14\6 0 0 0 \39 0 0 0 0 0 0
\11 0 0 16\3 0 0 11\ - 11\6 0 0 0 3\ 39\ 15\4 0 0 14\17 0 0
\22 0 0 0 0 0 0 22\7 0 0 0 16\28 0 0 0 0 0 0 0 -
- - 10\4 0 0 29\29 0 0 0 0 10\10 0 0 0 0 17\4 0 0 21\ -
- 11\3 0 0 23\11 0 0 0 0 6\3 0 0 \22 0 0 0 24\15 0 0 3\
\29 0 0 0 0 0 0 0 3\7 0 0 0 4\24 0 0 0 0 16\4 0 0
\34 0 0 0 0 0 \40 0 0 0 0 0 0 0 0 \22 0 0 0 0
\4 0 0 \16 0 0 - \4 0 0 \8 0 0 0 - \23 0 0 0 -
