12 16
- 27\ 17\ 16\ - 15\ 33\ 24\ - 20\ 15\ 4\ - 11\ 16\ 28\
\22 0 0 0 \21 0 0 0 4\7 0 0 0 \21 0 0 0
\14 0 0 0 \28 0 0 0 0 0 0 0 \8 0 0 0
\15 0 0 17\ - 32\26 0 0 0 0 0 30\ - 18\15 0 0
\7 0 0 0 24\6 0 0 0 \21 0 0 0 22\11 0 0 0
- \34 0 0 0 0 0 0 \22 0 0 0 0 0 0 -
- - 23\23 0 0 0 17\ 21\ - 17\ 32\23 0 0 0 16\ -
- 28\23 0 0 0 0 0 0 \23 0 0 0 0 0 0 27\
\21 0 0 0 \23 0 0 0 16\24 0 0 0 \7 0 0 0
\13 0 0 9\ - 12\27 0 0 0 0 0 16\ - 10\15 0 0
\23 0 0 0 \39 0 0 0 0 0 0 0 \10 0 0 0
\7 0 0 0 \7 0 0 0 \10 0 0 0 \21 0 0 0
