12 16
- 4\ 14\ 13\ - - - - 4\ 10\ 34\ - 11\ 5\ 41\ 28\
\10 0 0 0 23\ - 11\ 16\14 0 0 0 \10 0 0 0 0
\26 0 0 0 0 35\32 0 0 0 0 0 19\27 0 0 0 0
- 7\ 12\28 0 0 0 0 0 \13 0 0 0 0 \3 0 0
\17 0 0 0 0 0 8\ - 15\ 11\9 0 0 - \13 0 0
\11 0 0 34\ \8 0 0 6\12 0 0 0 0 15\ \11 0 0
\7 0 0 0 9\33 0 0 0 0 0 \8 0 0 15\12 0 0
- 13\ 30\20 0 0 0 \4 0 0 24\ \15 0 0 0 0 0
\16 0 0 0 0 20\ - 20\14 0 0 - 13\13 0 0 22\ 12\
\34 0 0 0 0 0 8\13 0 0 0 12\16 0 0 0 0 0
\21 0 0 0 \10 0 0 0 \24 0 0 0 \22 0 0 0
\8 0 0 - \24 0 0 0 - \6 0 0 \10 0 0 -
