12 16
- 8\ 37\ - 13\ 28\ 4\ - 34\ 12\ 14\ 14\ - - 26\ 19\
\4 0 0 \8 0 0 0 12\29 0 0 0 0 33\ \16 0 0
\12 0 0 \45 0 0 0 0 0 0 0 0 0 6\8 0 0
\8 0 0 14\15 0 0 15\14 0 0 0 0 14\27 0 0 0 0
- 8\21 0 0 0 0 0 17\7 0 0 20\15 0 0 0 0 0
\10 0 0 0 16\ \24 0 0 0 17\23 0 0 0 8\ 28\ 8\
\30 0 0 0 0 14\14 0 0 18\17 0 0 \27 0 0 0 0
- 12\ 28\ 15\14 0 0 0 29\12 0 0 0 13\ 29\6 0 0 0
\18 0 0 0 0 0 24\14 0 0 8\15 0 0 0 0 0 19\
\22 0 0 0 0 17\28 0 0 0 0 13\8 0 0 \17 0 0
\15 0 0 \45 0 0 0 0 0 0 0 0 0 \16 0 0
\8 0 0 - \26 0 0 0 0 \23 0 0 0 \3 0 0
