12 16
- 34\ 24\ 10\ 12\ 23\ 11\ 17\ - 27\ 23\ 13\ 16\ 3\ 23\ 16\
\41 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0
\29 0 0 0 0 0 0 0 17\41 0 0 0 0 0 0 0
\5 0 0 3\ 7\42 0 0 0 0 0 0 0 17\ 13\3 0 0
\19 0 0 0 0 24\ 14\24 0 0 0 12\ 23\30 0 0 0 0
\41 0 0 0 0 0 0 0 \29 0 0 0 0 0 0 0
- 33\ 16\ 7\ 15\12 0 0 34\ - 28\16 0 0 14\ 16\ 17\ 29\
\42 0 0 0 0 0 0 0 17\36 0 0 0 0 0 0 0
\12 0 0 0 0 14\ 22\22 0 0 0 23\ 8\27 0 0 0 0
\15 0 0 4\ 12\29 0 0 0 0 0 0 0 4\ 16\15 0 0
\37 0 0 0 0 0 0 0 \32 0 0 0 0 0 0 0
\42 0 0 0 0 0 0 0 \42 0 0 0 0 0 0 0
