12 20
- 14\ 45\ - 11\ 15\ 14\ 27\ - 10\ 15\ 15\ 29\ - 16\ 16\ 14\ 20\ - -
\9 0 0 \29 0 0 0 0 34\19 0 0 0 0 \11 0 0 0 0 - -
\14 0 0 27\45 0 0 0 0 0 0 0 0 0 22\28 0 0 0 0 45\ 30\
\17 0 0 0 0 0 13\29 0 0 0 0 14\27 0 0 0 0 28\23 0 0 0
\6 0 0 0 10\10 0 0 0 0 20\11 0 0 0 0 22\16 0 0 0 0 0
- 26\20 0 0 0 0 0 18\28 0 0 0 0 33\30 0 0 0 0 11\17 0 0
\28 0 0 0 0 33\12 0 0 0 0 16\12 0 0 0 0 20\23 0 0 0 0
\3 0 0 10\27 0 0 0 0 26\13 0 0 0 0 29\35 0 0 0 0 0 29\
\21 0 0 0 0 0 19\28 0 0 0 0 23\11 0 0 0 0 8\11 0 0 0
\20 0 0 0 16\11 0 0 0 0 8\27 0 0 0 0 14\15 0 0 0 0 0
- - \25 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \8 0 0
- - \26 0 0 0 0 \30 0 0 0 0 \28 0 0 0 0 \17 0 0
